,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,5,2,1,4,1
1,soywax2,1,6,3,1,4,1
2,grapefruit5,2,5,5,1,3,1
3,soapBB,1,2,2,2,4,1
4,bun3,4,2,6,2,2,0
5,JellyMooncake6,1,5,2,1,4,0
6,caramelcandy5,1,3,5,1,3,1
7,greencrystal,3,3,5,2,3,0
8,bronze1,1,2,1,1,6,1
9,selenite2,1,4,1,1,6,1
10,shrimp1,1,5,5,1,3,1
11,quartz10BB,4,4,1,2,6,0
12,ivory1,1,1,1,1,6,1
13,colorsoap2,1,4,1,1,5,0
14,wax14,1,5,2,1,4,0
15,peachslice2,1,3,5,1,3,1
16,yellowstone6BB,3,5,1,1,6,0
17,snowball3,1,3,6,1,1,0
18,quartz3,3,4,1,1,6,0
19,caviar2,6,4,6,2,2,0
20,glasscup1,6,6,1,1,6,0
21,resin3,3,3,1,1,5,0
22,PearlOnion2,1,4,4,1,4,1
23,sugarcube4,1,1,1,1,6,1
24,greensoap1,1,5,5,1,4,0
25,lightbulb1,1,6,1,1,6,1
26,soap7,1,5,4,1,3,1
27,dougao3,1,4,4,1,3,0
28,peeledlemon3,1,3,5,1,3,0
29,wax13,1,5,3,1,3,1
30,metal14,1,5,1,1,5,1
31,sweetpotato1,1,2,4,1,3,1
32,ice6,2,1,1,2,6,0
33,baozi2,1,3,6,1,2,1
34,glycerin4,3,4,4,2,3,0
35,mangojelly5,3,3,5,2,2,0
36,egg7,1,5,1,3,5,0
37,mochi17,1,3,2,1,5,1
38,fishmeat7,1,5,2,2,5,0
39,turnipslice2,1,2,4,2,3,1
40,plasticgear1,2,4,1,1,4,1
41,cream4,2,3,6,3,1,1
42,tuna2,3,2,6,2,2,0
43,ice2,1,2,2,1,4,0
44,marshmallow5,1,1,4,1,2,1
45,fishmeat6,3,3,5,1,2,0
46,lemonwedge4,3,4,5,2,2,0
47,choppedpotato3,1,4,5,1,3,1
48,keycap2,1,5,2,2,4,1
49,persimmon1,1,5,2,1,3,0
50,peeledpeach2,2,5,5,1,2,0
51,tarsoap2,1,2,1,1,6,1
52,DragonfruitJelly2,4,5,6,3,2,0
53,tuna11,2,3,5,1,2,0
54,steelcube,1,4,1,1,6,1
55,cantaloupe1,2,2,5,1,2,1
56,concrete2,1,1,1,1,6,1
57,tofu6,1,5,6,1,2,1
58,towel3,1,1,6,1,2,1
59,copperBB,1,5,1,1,6,1
60,pickle1,1,5,6,1,3,0
61,ice5,3,5,6,2,2,0
62,sweetpotato3,1,2,3,1,2,1
63,GlycerinSoap3,1,4,2,4,4,0
64,quartz77,5,5,1,3,5,0
65,DriedCantaloupe4,3,1,6,2,2,0
66,marblestatue2,1,4,1,1,6,1
67,honeydew2,1,2,5,1,3,0
68,tire1,1,1,3,1,5,1
69,tulumba1,1,6,5,1,3,0
70,meat10,1,2,6,1,3,1
71,cocoon2,2,1,6,1,3,1
72,mochi13,1,5,4,1,3,0
73,pineapple5,1,3,5,1,3,1
74,tuna10BB,1,2,5,1,2,1
75,honeycomb4,4,6,5,3,3,0
76,peeledpeach1,1,6,5,2,3,0
77,ceramic3,1,4,1,1,5,1
78,honeysoap1,3,5,6,2,2,0
79,snowbow2,1,2,5,3,3,1
80,kiwi7,2,4,5,1,2,0
81,onion1,2,3,4,1,3,0
82,yellowsoap1,1,4,4,2,2,1
83,olivesoap1,1,2,1,1,5,1
84,eraser3,1,1,5,1,4,1
85,dumpling3,2,5,2,2,4,0
86,wax2,2,2,3,1,3,0
87,peeledorange3,3,1,5,2,3,0
88,resin2,6,6,1,3,6,0
89,salmon5,1,6,6,2,3,0
90,selenite3,3,2,1,2,6,0
91,gummi30,3,6,6,3,3,0
92,marzipan3,1,2,5,1,2,1
93,glasschess1,5,1,1,3,6,0
94,orangewedge5,4,5,6,2,3,0
95,peeledpumkin4,1,2,5,1,3,1
96,dragonfruit7,1,6,5,2,3,0
97,beewax12,1,6,3,1,3,0
98,fluorite1,3,5,3,2,4,0
99,bronzehead,1,3,1,1,6,1
100,beewax8,1,5,2,1,3,0
101,egg6,1,3,6,1,3,0
102,jade11,2,2,1,1,6,0
103,cheesewaxBB,1,1,1,1,5,1
104,lucitefruit3,6,6,1,3,6,0
105,bluejelly,1,2,1,1,5,0
106,tulumba4,2,4,2,1,4,0
107,eggyolk8,2,4,6,2,2,0
108,caramelcandy1,2,6,2,2,4,1
109,lucitefruit1,5,6,1,3,5,0
110,frostedglass2,3,3,2,1,5,0
111,brownrock,1,1,1,1,6,1
112,dragonfruit4,2,5,5,1,3,0
113,toy1,2,3,3,2,3,0
114,toy2BB,2,2,3,2,3,0
115,marshmallow2,1,1,6,1,2,1
116,maripan1,1,1,3,1,3,1
117,tarsoap1,1,2,3,1,4,1
118,mochi11,1,1,5,1,2,1
119,wood14,1,4,1,1,6,1
120,frostedglass3,4,1,1,2,5,0
121,Scallops3,1,5,4,2,4,0
122,carrotslice1,1,1,3,1,4,1
123,JellyMooncake1,4,6,5,3,2,0
124,meat1BB,1,3,5,1,3,1
125,cheese7,2,4,3,1,4,0
126,ambersoap,3,5,3,2,4,0
127,honeycomb3,4,6,4,2,3,0
128,cheesekeycap,1,4,2,1,3,1
129,marble3,1,1,1,1,6,0
130,SlicedBanana2,1,2,5,1,3,1
131,waxcube3,2,1,3,3,2,0
132,mantou1,1,3,4,1,2,1
133,fudge4,1,1,3,1,3,1
134,raspberry3,1,5,5,2,2,0
135,butter1,1,2,4,1,3,1
136,tofu2,1,6,6,1,2,1
137,hamslice2,1,1,5,1,2,1
138,bearBB,4,6,5,3,3,0
139,cheesewax4,1,1,4,1,3,1
140,avacado6,1,5,5,1,3,1
141,ivory2,1,2,1,1,6,1
142,jello2,4,5,5,3,2,0
143,quartz64,3,3,1,4,5,0
144,turnipslice1,3,1,6,1,2,0
145,pot3,1,1,1,1,6,1
146,palmivory3,2,5,3,1,3,0
147,soap3BB,1,4,2,1,4,0
148,clay11,1,1,1,1,6,1
149,whitejade3,2,5,1,1,5,0
150,beewax7,1,5,2,1,3,0
151,jade12,1,6,1,2,4,0
152,mangojelly3,2,5,3,1,3,1
153,marble1,1,5,1,1,5,1
154,glasschess3,6,6,1,2,5,0
155,jade5BB,2,6,1,2,5,0
156,beewax9,1,1,3,1,3,0
157,cheese12,1,1,4,1,3,1
158,seashell6,1,1,1,1,5,1
159,bowl1,1,4,1,1,4,1
